session_id,label,outcome,problem_id,item_id,perturbation_type,difficulty,n_windows,max_delta_h1,max_xi_h1,max_negative_balance_h1,max_delta_h2,max_xi_h2,max_negative_balance_h2,max_delta_h4,max_xi_h4,max_negative_balance_h4,max_delta_h8,max_xi_h8,max_negative_balance_h8,max_delta_h16,max_xi_h16,max_negative_balance_h16,max_delta_full,max_xi_full,max_negative_balance_full
cocc-00166-24227ab5ee,1,FAIL,2844,2844:negation_objective:33,negation_objective,easy,32,0.009609739587599394,0.0005822246887727394,-0.19941777531122729,0.05541937352724111,0.0039046395809371006,-0.19609536041906292,0.08210958261681955,0.013057090499168953,-0.18694290950083106,0.12506767849711525,0.02672373180893051,-0.1732762681910695,0.13524764289283991,0.053878546180979994,-0.14612145381902003,0.13524764289283991,0.062341314130710215,-0.1376586858692898
cocc-00167-1ff3c44ffa,1,FAIL,2847,2847:negation_objective:35,negation_objective,easy,32,0.12599053381818137,0.007633380558538807,-0.19236661944146122,0.12599053381818137,0.011258507457572698,-0.1887414925424273,0.12599053381818137,0.018696972037878713,-0.1813030279621213,0.14958632258328697,0.04337263159970426,-0.15662736840029576,0.14958632258328697,0.06420132114549408,-0.13579867885450592,0.14958632258328697,0.08572389086927101,-0.114276109130729
cocc-00168-d428f742fc,1,FAIL,2848,2848:negation_objective:36,negation_objective,medium,32,0.024570616114146685,0.0014886583751420044,-0.198511341624858,0.05328000967943182,0.00462653772342022,-0.19537346227657978,0.0968209897769273,0.01287739960407331,-0.1871226003959267,0.0968209897769273,0.018079837114893273,-0.18192016288510673,0.1322568017087503,0.042388599730760555,-0.15761140026923945,0.1322568017087503,0.05069729234598186,-0.14930270765401815
cocc-00169-1a1eb27975,1,FAIL,2849,2849:negation_objective:37,negation_objective,hard,32,0.08196954370341222,0.004966283595566686,-0.19503371640443332,0.08196954370341222,0.00697228700915139,-0.19302771299084862,0.09492259915918252,0.013333690312734122,-0.18666630968726589,0.1642580928194927,0.0363530437033516,-0.1636469562966484,0.1642580928194927,0.04738099103601511,-0.1526190089639849,0.1642580928194927,0.05187156654202359,-0.14812843345797644
cocc-00170-fd8164bdf3,1,FAIL,2850,2850:negation_objective:38,negation_objective,medium,32,0.05087443330972692,0.003082326095336439,-0.19691767390466358,0.173865160155202,0.013429534935058099,-0.1865704650649419,0.173865160155202,0.021870535358802425,-0.17812946464119758,0.2973954467842845,0.05113120559612132,-0.14886879440387868,0.2973954467842845,0.057290186269018835,-0.14270981373098118,0.2973954467842845,0.06840466950413757,-0.13159533049586244
cocc-00171-4d4fe830c3,1,FAIL,2856,2856:negation_objective:41,negation_objective,medium,32,0.008654785117806582,0.0005243669222954118,-0.1994756330777046,0.11271904164445243,0.007321898632349252,-0.19267810136765076,0.11271904164445243,0.013588328781071985,-0.18641167121892802,0.20530188418285894,0.029492586958592318,-0.1705074130414077,0.20530188418285894,0.03943636278755227,-0.16056363721244774,0.20530188418285894,0.03943636278755227,-0.16056363721244774
cocc-00172-282976efe2,1,FAIL,2857,2857:negation_objective:42,negation_objective,easy,32,0.0494981210112734,0.0029989395485609948,-0.197001060451439,0.0494981210112734,0.004120879218390758,-0.19587912078160924,0.11389327530501002,0.013525540150354464,-0.18647445984964556,0.127787248760857,0.035218975361295035,-0.16478102463870498,0.1507012676854372,0.0516593420021669,-0.1483406579978331,0.22345384879145624,0.07397791476111919,-0.1260220852388808
cocc-00173-6dee22abf8,1,FAIL,2866,2866:negation_objective:43,negation_objective,easy,32,0.030853439901070485,0.0018693154252743566,-0.19813068457472566,0.030853439901070485,0.0031078068653405968,-0.19689219313465942,0.20228572297844902,0.015175386757828282,-0.18482461324217173,0.20228572297844902,0.019823398248622278,-0.18017660175137773,0.20228572297844902,0.043340296058739444,-0.15665970394126055,0.20228572297844902,0.0435991361336685,-0.1564008638663315
cocc-00174-1791677d7e,1,FAIL,2867,2867:negation_objective:44,negation_objective,medium,32,0.04203406139314866,0.0025467150373211993,-0.1974532849626788,0.04203406139314866,0.0025467150373211993,-0.1974532849626788,0.04203406139314866,0.0051734890085243365,-0.1948265109914757,0.10388338269066373,0.017076003848546663,-0.18292399615145336,0.16879980304870207,0.031039356845882625,-0.16896064315411738,0.19973172271493875,0.058332160098824214,-0.1416678399011758
cocc-00175-705ba558d0,1,FAIL,2869,2869:negation_objective:46,negation_objective,medium,32,0.01333677082103656,0.0008080340960052107,-0.1991919659039948,0.01924855985555625,0.001925289071885611,-0.1980747109281144,0.10570272110473249,0.0114229068120579,-0.1885770931879421,0.10570272110473249,0.02504673076818444,-0.17495326923181556,0.13313621334448192,0.03328983075228269,-0.1667101692477173,0.13313621334448192,0.04275302615818925,-0.15724697384181074
